businessDate,openPrice,highPrice,lowPrice,previousDayClosePrice,fiftyTwoWeekHigh,lastTradedPrice,totalTradedQuantity,closePrice,EMA,MACD,Signal
2024-02-07,8.1,8.12,8.1,8.16,10.39,8.1,14527,8.1,8.1,0.0,0.0
2024-02-08,8.1,8.1,8.1,8.1,10.39,8.1,300,8.1,8.1,0.0,0.0
2024-02-11,7.94,8.0,7.94,8.1,10.39,7.96,725,7.96,8.078461538461537,-0.011168091168091365,-0.0022336182336182733
2024-02-12,7.96,8.11,7.89,7.96,10.39,8.11,12137,8.11,8.083313609467455,-0.007824936485905098,-0.0033518818840756383
2024-02-13,8.01,8.11,8.01,8.11,10.39,8.04,17631,8.04,8.076649977241694,-0.010700528270676912,-0.004821611161395893
2024-02-14,8.19,8.2,7.96,8.04,10.39,7.96,31800,7.96,8.058703826896817,-0.019213307836858817,-0.007699950496488478
2024-02-15,7.9,8.01,7.83,7.96,10.39,8.01,2850,8.01,8.051210930451152,-0.021675305413362267,-0.010495021479863236
2024-02-18,7.95,8.01,7.95,8.01,10.39,8.01,22800,8.01,8.04487078730482,-0.02335720886602566,-0.013067458957095721
2024-02-20,7.96,8.1,7.96,8.01,10.39,8.1,300,8.1,8.05335220464254,-0.01722927329342916,-0.01389982182436241
2024-02-21,7.95,7.95,7.8,8.1,10.39,7.8,3500,7.8,8.014374942389841,-0.036163463106426263,-0.01835255008077518
2024-02-22,7.8,7.81,7.51,7.8,10.39,7.81,2513,7.81,7.982932643560634,-0.04978810226924324,-0.024639660518468793
2024-02-25,7.67,7.8,7.67,7.81,10.39,7.8,325,7.8,7.954789159935921,-0.06069301212877942,-0.03185033084053092
2024-02-26,7.76,7.76,7.76,7.8,10.39,7.76,950,7.76,7.924821596868856,-0.07173596985771802,-0.03982745864396834
2024-02-27,7.64,7.8,7.64,7.76,10.39,7.8,9225,7.8,7.905618274273648,-0.07637947269540213,-0.047137861454255095
2024-02-28,7.71,7.71,7.71,7.8,10.39,7.71,750,7.71,7.8755231551546245,-0.0863266105574585,-0.05497561127489578
2024-02-29,7.56,7.58,7.44,7.71,10.39,7.58,7250,7.58,7.830058054361605,-0.10350654351995292,-0.06468179772390721
2024-03-03,7.44,7.58,7.44,7.58,10.39,7.58,825,7.58,7.79158758445982,-0.11578704320828859,-0.07490284682078349
2024-03-04,7.58,7.58,7.58,7.58,10.39,7.58,0,7.58,7.759035648389078,-0.12408900685917068,-0.08474007882846094
2024-03-05,7.69,7.73,7.69,7.58,10.39,7.69,11703,7.69,7.7484147794061435,-0.12040434582371606,-0.09187293222751196
2024-03-06,7.71,7.73,7.71,7.69,10.39,7.73,301,7.73,7.745581736420583,-0.11295449064410157,-0.09608924391082989
2024-03-07,7.64,7.71,7.64,7.73,10.39,7.7,10600,7.7,7.738569161586647,-0.10822364125102357,-0.09851612337886864
2024-03-10,7.65,8.05,7.65,7.7,10.39,8.05,9250,8.05,7.786481598265625,-0.0753635895470337,-0.09388561661250167
2024-03-12,8.0,8.0,8.0,8.05,10.39,8.0,600,8.0,7.819330583147837,-0.05274829445647722,-0.08565815218129678
2024-03-13,8.1,8.1,7.99,8.0,10.39,8.1,8025,8.1,7.862510493432785,-0.026451430274913257,-0.07381680780002008
2024-03-14,7.95,8.1,7.95,8.1,10.39,8.1,6883,8.1,7.8990473405969714,-0.005547033206452667,-0.0601628528813066
2024-03-17,7.96,7.96,7.96,8.1,10.39,7.96,100,7.96,7.9084246728128225,-0.0002738214496069702,-0.048185046594966675
