Section,Index,Actual_ClosePrice,Predicted_ClosePrice,Reconstruction_Error,Scaled_Reconstruction_Error,iFMII_linear,iFMII_rank_linear,p_value_linear,Best_k,RMSE,Scaled_RMSE,iFMII_rank_nonlinear,p_value_nonlinear,iFMII_nonlinear,ip_value
1,19,7.7,7.7325395014044895,0.0010588191516527,0.1058819151652765,0.1058819151652765,34.0,0.8947368421052632,1.0,0.1203318995824556,0.0874464130717715,24.0,0.8571428571428571,,0.8759398496240601
2,19,8.1,7.961541435917702,0.0191707739677316,1.9170773967731625,1.9170773967731625,11.0,0.2894736842105263,9.0,0.7641266663291956,1.0,1.0,0.0357142857142857,,0.162593984962406
3,19,7.87,7.917916177938059,0.0022959601081917,0.2295960108191713,0.2295960108191713,31.0,0.8157894736842105,1.0,0.2116922553730477,0.21694609944083,16.0,0.5714285714285714,,0.6936090225563909
4,19,7.87,7.844143629087266,0.0006685519167768,0.0668551916776897,0.0668551916776897,35.0,0.9210526315789472,7.0,0.3643312400024111,0.4333058154920846,9.0,0.3214285714285714,,0.6212406015037593
5,19,8.05,7.902318520297846,0.0218098194470179,2.1809819447017973,2.1809819447017973,10.0,0.2631578947368421,1.0,0.1562197293097085,0.1383159905151641,21.0,0.75,,0.506578947368421
6,19,7.95,7.995153826559517,0.0020388680529669,0.2038868052966927,0.2038868052966927,33.0,0.868421052631579,1.0,0.1523685991600841,0.1328571660367885,22.0,0.7857142857142857,,0.8270676691729324
7,18,8.0,7.969335896308908,0.000940287255178,0.0940287255178039,0.0540809305069756,36.0,0.9473684210526316,10.0,0.4382696431740757,0.5381105739510654,4.0,0.1428571428571428,,0.5451127819548872
7,19,7.88,7.891888286460271,0.0001413313549614,0.0141331354961472,0.0540809305069756,36.0,0.9473684210526316,10.0,0.4382696431740757,0.5381105739510654,4.0,0.1428571428571428,,0.5451127819548872
8,19,8.03,7.930483399734383,0.0099035537284264,0.9903553728426456,0.9903553728426456,24.0,0.631578947368421,10.0,0.6856447905569633,0.888755049055905,3.0,0.1071428571428571,,0.36936090225563906
9,19,7.89,7.9044399915629295,0.0002085133563374,0.0208513356337485,0.0208513356337485,38.0,1.0,10.0,0.6929063708576252,0.8990480515660406,2.0,0.0714285714285714,,0.5357142857142857
10,19,7.76,7.920937038599489,0.0259007303931735,2.590073039317357,2.590073039317357,9.0,0.2368421052631578,10.0,0.2417971862976504,0.2596186468402095,13.0,0.4642857142857143,,0.3505639097744361
11,16,7.9,7.864699640139108,0.0012461154063085,0.1246115406308512,0.6743043850404029,27.0,0.7105263157894737,10.0,0.2652526193406389,0.2928657943193598,12.0,0.4285714285714285,,0.5695488721804511
11,17,7.75,7.868738761748016,0.0140988935414521,1.4098893541452162,0.6743043850404029,27.0,0.7105263157894737,10.0,0.2652526193406389,0.2928657943193598,12.0,0.4285714285714285,,0.5695488721804511
11,18,7.8,7.822459193675878,0.0005044153805706,0.0504415380570618,0.6743043850404029,27.0,0.7105263157894737,10.0,0.2652526193406389,0.2928657943193598,12.0,0.4285714285714285,,0.5695488721804511
11,19,7.95,7.844535545925251,0.0111227510732848,1.1122751073284822,0.6743043850404029,27.0,0.7105263157894737,10.0,0.2652526193406389,0.2928657943193598,12.0,0.4285714285714285,,0.5695488721804511
12,16,8.3,8.396182780646463,0.0092511272928854,0.9251127292885406,5.806043503079203,1.0,0.0263157894736842,10.0,0.4132708749156709,0.5026758099217252,5.0,0.1785714285714285,,0.10244360902255635
12,17,8.3,8.289867782685937,0.0001026618276994,0.010266182769942,5.806043503079203,1.0,0.0263157894736842,10.0,0.4132708749156709,0.5026758099217252,5.0,0.1785714285714285,,0.10244360902255635
12,18,8.2,8.369756981384132,0.0288174327286527,2.881743272865276,5.806043503079203,1.0,0.0263157894736842,10.0,0.4132708749156709,0.5026758099217252,5.0,0.1785714285714285,,0.10244360902255635
12,19,8.78,8.33946564461562,0.1940705182739305,19.40705182739305,5.806043503079203,1.0,0.0263157894736842,10.0,0.4132708749156709,0.5026758099217252,5.0,0.1785714285714285,,0.10244360902255635
13,19,8.35,8.397536968576707,0.0022597633814629,0.22597633814629,0.22597633814629,32.0,0.8421052631578947,10.0,0.0596262592168001,0.0013985718592839,27.0,0.9642857142857144,,0.9031954887218046
14,18,8.27,8.395249110735604,0.0156873397400595,1.5687339740059585,0.8540926046106164,25.0,0.6578947368421053,10.0,0.2081158579067043,0.2118766976613083,17.0,0.6071428571428571,,0.6325187969924813
14,19,8.35,8.387343170087082,0.0013945123521527,0.1394512352152743,0.8540926046106164,25.0,0.6578947368421053,10.0,0.2081158579067043,0.2118766976613083,17.0,0.6071428571428571,,0.6325187969924813
15,19,8.25,8.36494862550701,0.0132131865059507,1.3213186505950782,1.3213186505950782,18.0,0.4736842105263157,10.0,0.129594207989677,0.1005753684420633,23.0,0.8214285714285714,,0.6475563909774436
16,15,9.65,9.597931382602852,0.0027111409176504,0.2711140917650475,1.2760351085963475,19.0,0.5,1.0,0.0586395848375375,0.0,28.0,1.0,,0.75
16,16,9.55,9.719792875900472,0.0288296207065528,2.882962070655289,1.2760351085963475,19.0,0.5,1.0,0.0586395848375375,0.0,28.0,1.0,,0.75
16,17,9.48,9.621087114961492,0.0199055740081571,1.9905574008157156,1.2760351085963475,19.0,0.5,1.0,0.0586395848375375,0.0,28.0,1.0,,0.75
16,18,9.7,9.63618781169984,0.004071995375655,0.4071995375655062,1.2760351085963475,19.0,0.5,1.0,0.0586395848375375,0.0,28.0,1.0,,0.75
