Section,Index,Actual_ClosePrice,Predicted_ClosePrice,Reconstruction_Error,Scaled_Reconstruction_Error,iFMII_linear,iFMII_rank_linear,p_value_linear,Best_k,RMSE,Scaled_RMSE,iFMII_rank_nonlinear,p_value_nonlinear,iFMII_nonlinear,ip_value
1,19,8.2,8.307490723217919,0.0115542555779114,1.1554255577911408,1.1554255577911408,55.0,0.632183908045977,9.0,0.3267384427692994,0.1832252133042418,22.0,0.5116279069767442,,0.5719059075113606
2,19,8.55,8.378938096360521,0.0292621748767626,2.92621748767626,2.92621748767626,34.0,0.3908045977011494,9.0,0.2930415633906099,0.1610026025405532,24.0,0.5581395348837209,,0.47447206629243516
3,18,8.56,8.31959485774419,0.0577946324230361,5.779463242303614,2.8917669978582827,35.0,0.4022988505747126,9.0,0.2133713494194076,0.1084612341056622,31.0,0.7209302325581395,,0.561614541566426
3,19,8.32,8.326380245616708,4.070753412951488e-05,0.0040707534129514,2.8917669978582827,35.0,0.4022988505747126,9.0,0.2133713494194076,0.1084612341056622,31.0,0.7209302325581395,,0.561614541566426
4,19,8.24,8.331739612871399,0.008416156569794,0.8416156569794072,0.8416156569794072,61.0,0.7011494252873564,4.0,0.2351674899975943,0.1228354775712456,29.0,0.6744186046511628,,0.6877840149692596
5,19,8.23,8.342322167247968,0.0126162692552803,1.2616269255280337,1.2616269255280337,51.0,0.5862068965517241,9.0,0.3709522376768446,0.21238357967918,18.0,0.4186046511627907,,0.5024057738572574
6,15,8.23,8.353415184935447,0.0152313078726503,1.5231307872650366,0.4428712693996542,63.0,0.7241379310344828,9.0,0.0489079944253935,0.0,43.0,1.0,,0.8620689655172413
6,16,8.25,8.185978840005017,0.0040987089271032,0.4098708927103202,0.4428712693996542,63.0,0.7241379310344828,9.0,0.0489079944253935,0.0,43.0,1.0,,0.8620689655172413
6,17,8.25,8.278647439716572,0.0008206758023146,0.0820675802314621,0.4428712693996542,63.0,0.7241379310344828,9.0,0.0489079944253935,0.0,43.0,1.0,,0.8620689655172413
6,18,8.21,8.246852509985438,0.0013581074922267,0.1358107492226708,0.4428712693996542,63.0,0.7241379310344828,9.0,0.0489079944253935,0.0,43.0,1.0,,0.8620689655172413
