Asset_Class,Source,Optimized_Threshold
Asset_1,cmf2,0.8906469413364329
Asset_2,nb2,1.0705860018214318e+18
Asset_3,nb3,1.058428980706035e+19
Asset_4,gibf1,3.1695592453533588e+16
